ID,個体名,個体名カナ,飼育中,性別,生年月日,死亡年月日,年齢,他園移動日,他園移動園館,来園日,来園元園館,父親,母親,ペア個体名,性格,特徴,写真枚数
panpan,胖胖,パンパン,0,メス,1984-11-16,1998-09-28,13,,,1984-11-16,,,,,,,
shushu,秀秀,シュウシュウ,0,メス,1984-11-17,1988-02-27,3,,,1984-11-16,,,,,,,
keikei,慶慶,ケイケイ,0,オス,1984-11-18,1990-11-24,6,,,1985-03-22,,,,,,,
yuyu,遊遊,ユウユウ,0,メス,1986-07-05,2005-12-12,19,1987-12-16,神戸市立王子動物園,,,慶慶,胖胖,,,鯖江で最初の赤ちゃんとして誕生,
rinrin,鈴鈴,リンリン,0,メス,1986-07-05,2006-03-17,19,,,,,慶慶,胖胖,,,鯖江で最初の赤ちゃんとして誕生,
tantan,誕誕,タンタン,0,オス,1986-07-05,1987-01-20,0,,,,,慶慶,秀秀,,,鯖江で最初の赤ちゃんとして誕生,
reirei,麗麗,レイレイ,0,メス,1986-07-05,1995-10-24,9,1991-12-12,天王寺動物園,,,慶慶,秀秀,,,鯖江で最初の赤ちゃんとして誕生,
yoyo,陽陽,ヨウヨウ,0,オス,1987-07-26,2007-11-26,20,1988-11-24,長野市茶臼山動物園,,,慶慶,秀秀,,,,
ranran,蘭蘭,ランラン,0,メス,1987-07-26,2009-06-02,21,,,,,慶慶,秀秀,,おとなしい。優しい,若い頃は多くの取材のモデルを務める。2007年に動物愛護協会により「功労動物」として表彰される。子育て上手,1
aiai,愛愛,アイアイ,0,メス,1988-06-25,2006-01-07,17,,,,,慶慶,胖胖,,穏やか,,
yuyu2,友友,ユウユウ,0,オス,1987-05-31,2007-12-19,20,,,1988-11-25,長野市茶臼山動物園,,,鈴鈴,穏やか,愛愛、蘭蘭と相性が良い,1
tenten,天天,テンテン,0,メス,1989-06-26,2004-01-30,14,1990-11-29,周南市徳山動物園,,,友友,蘭蘭,,,,
suisui,松松,スイスイ,0,オス,1989-06-29,1991-11-08,2,1990-11-28,仙台市八木山動物公園,,,,,,,,
chiichii,吉吉,チィチィ,0,オス,1989-06-30,1995-12-15,6,1990-11-02,甲府市遊亀公園附属動物園,,,友友,鈴鈴,,,,
hana,花,ハナ,0,メス,1990-06-29,2005-11-10,15,1997-04-07,秋田市大森山動物園,,,友友,蘭蘭,,,,
meimei,美美,メイメイ,0,メス,1989-06-19,2007-11-10,18,2001-11-09,江戸川区自然動物園,1990-11-28,仙台市八木山動物公園,,,,慎重,,
pynpyn,平平,ピンピン,0,オス,1989-06-28,2008-01-05,18,,,1990-11-29,周南市徳山動物園,,,,穏やか,,
akane,茜,アカネ,0,メス,1991-06-18,2013-07-30,22,1993-04-22,旭川市旭山動物園,,,友友,蘭蘭,,,,
kaori,香,カオリ,0,メス,1991-06-18,2003-12-21,12,1993-03-19,秋吉台自然動物公園,,,友友,蘭蘭,,,,
kusu,楠,クス,0,オス,1991-06-24,2015-07-15,24,1993-02-16,広島市安佐動物公園,,,友友,麗麗,,,,1
kozue,梢,コズエ,0,メス,1991-07-04,2009-04-16,17,1993-03-18,京都市動物園,,,平平,愛愛,,,,
yan-yan,陽陽,ヤンヤン,0,オス,1992-06-19,2010-07-04,18,1993-04-22,旭川市旭山動物園,,,平平,美美,,,,
saisai,サイサイ,サイサイ,0,メス,1992-06-19,2006-07-01,14,1994-04-21,姫路市立動物園,,,平平,美美,,,,
sabataro,サバタロウ,サバタロウ,0,オス,1992-06-22,2000-02-18,7,1995-02-15,釧路市動物園,,,友友,蘭蘭,,,,
chunchun,春春,チュンチュン,0,オス,1992-06-22,2010-09-18,18,1994-02-22,池田動物園,,,友友,蘭蘭,,,,
ryo,涼,リョウ,0,オス,1992-07-13,2013-02-13,20,1996-03-26,三島市立公園楽寿園,,,平平,愛愛,,,,
kohei,コウヘイ,コウヘイ,0,オス,1992-07-13,2010-11-26,18,1996-03-26,三島市立公園楽寿園,,,平平,愛愛,,,,
koko,好好,コウコウ,0,オス,1988-06-22,2008-01-05,19,,,1993-02-18,広島市安佐動物公園,,,花,慎重,体色は黒色の範囲が多い,
hisashi,ヒサシ,ヒサシ,0,オス,1993-06-30,2011-08-29,18,,,,,友友,鈴鈴,,気が強い　,人工哺育で成育。国内における人工保育としては2例目。タカシと相性が良い,1
takashi,タカシ,タカシ,0,オス,1993-07-19,2012-09-07,19,,,,,平平,愛愛,,穏やか,大柄な体格。ヒサシと相性が良い　手足が長い,1
tsuyoshi,ツヨシ,ツヨシ,0,オス,1993-07-19,2003-03-10,9,1999-03-30,長崎バイオパーク,,,平平,愛愛,,,,
tomi,トミー,トミー,0,オス,1995-06-24,2014-06-19,18,1998-08-24,富山市ファミリーパーク,,,平平,愛愛,,,,
marimo,マリモ,マリモ,0,メス,1995-07-05,2008-02-22,12,2007-12-03,姫路市立動物園,1996-11-16,釧路市動物園,,,,気が強い　,大柄な体格,1
chacha,チャチャ,チャチャ,0,メス,1997-06-17,2012-04-07,14,,,1999-04-02,長崎バイオパーク,,,,,多産。2000年から2008年にかけて計8頭を出産。子育て上手,1
kosei,コウセイ,コウセイ,0,オス,2000-06-27,2018-04-03,17,2003-12-26,横浜市立よこはま動物園,,,タカシ,チャチャ,,,命名は一般公募で選ばれ、当時活躍していた柔道の井上康生選手から名付けられた。,
rara,ララ,ララ,0,メス,2000-06-27,2015-02-15,14,,,,,タカシ,チャチャ,,好奇心旺盛,,1
chata,チャタ,チャタ,0,オス,2002-06-25,2014-12-18,12,,,,,タカシ,チャチャ,,愛嬌がある　,手足が長い　キララと相性が良い,1
kirara,キララ,キララ,0,メス,2002-06-29,2013-04-23,10,2004-06-04,ひらかたパーク,,,ヒサシ,ララ,,慎重,チャタと相性が良い,
shunshun,純純,シュンシュン,0,オス,2001-06-28,2016-12-30,15,2012/1～4まで多摩,東京都多摩動物公園,2004-06-06,ひらかたパーク,,,,穏やか　おとなしい,体色は黒い部分が多い,1
chao,チャオ,チャオ,0,オス,2006-07-06,2023-02-18,16,2009-01-23,長野市茶臼山動物園,,,純純,チャチャ,,,,1
shurara,シュララ,シュララ,0,メス,2007-06-23,2016-10-01,9,2010-12-22,仙台市八木山動物公園,,,純純,ララ,,慎重,体色は黒い部分が多い,1
minfa,ミンファ,ミンファ,1,メス,2006-06-23,,,2014-03-10,神戸市立王子動物園,2008-03-21,市川市動植物園,,,,マイペース　好奇心旺盛,笹の枝を運んで食べる　身体能力が高い　運動場に生えている草をよく食べる（サラダバー）　子育て上手  2024年の西山動物園推しパン総選挙では2位に選ばれた。,4
rairai,来来,ライライ,0,オス,2008-07-01,2022-02-04,13,2011-06-02,東武動物公園,,,純純,チャチャ,,,,1
yan-yan2,ヤンヤン,ヤンヤン,0,オス,2010-06-24,2021-01-23,10,,,,,純純,ララ,,穏やか,たけのこが好き　キラリと相性が良い　シンシンとは双子の兄弟,1
shinshin,シンシン,シンシン,0,オス,2010-06-24,2024-01-24,13,2013-02-28,アドベンチャーワールド,,,純純,ララ,,,ヤンヤンとは双子の兄弟,1
fafa,ファファ,ファファ,0,オス,2010-06-28,,,2012-02-18,川崎市夢見ヶ崎動物公園,,,チャタ,ミンファ,,穏やか　おとなしい　のんびり,マイペース,1
minmin,ミンミン,ミンミン,0,メス,2010-06-28,2024-04-10,13,2012-04-23,とくしま動物園,,,チャタ,ミンファ,,おしとやか,,1
chamin,チャーミン,チャーミン,0,オス,2011-07-16,2021-08-22,10,2014-02-03,旭川市旭山動物園,,,チャタ,ミンファ,,好奇心旺盛　慎重,大柄な体格。空のペットボトルで遊ぶのが好き,1
soso,ソウソウ,ソウソウ,0,オス,2012-07-08,2020-12-01,8,2015-03-02,埼玉県こども動物自然公園,,,チャタ,ミンファ,,好奇心旺盛,鯖江で2回目の人工哺育で成育,1
kirari,キラリ,キラリ,0,メス,2011-06-27,2025-07-06,14,,,2013-02-14,姫路セントラルパーク,,,,慎重　マイペース,ベビーフェイス　雪が積もると活発に遊ぶ。子育て上手　,4
miruki,ミルキー,ミルキー,0,メス,2013-07-07,,,2020-02-26,アドベンチャーワールド,,,チャタ,ミンファ,,気が強い,ムータンと相性が良い,1
raito,ライト,ライト,1,オス,2013-07-18,,,,,,,ヤンヤン,キラリ,,慎重,人参が好き　体色は黒い部分が多い　かのこと相性が良い,4
hikari,ひかり,ヒカリ,0,メス,2013-07-18,2024-03-10,10,,,,,ヤンヤン,キラリ,,愛嬌がある,りんごを食べる時に手首を曲げて食べる。,1
taiyo,たいよう,タイヨウ,1,オス,2013-06-15,,,,,2015-02-13,池田動物園,,,かのこ,穏やか　くいしんぼう　,人参が好き　食べるのが早い　運動神経は鈍い　長い手足　2024年の西山動物園推しパン総選挙では5位に選ばれた。,0
mutan,ムータン,ムータン,0,オス,2014-06-19,2024-01-31,9,2021-01-18,長野市茶臼山動物園,2015-06-10,京都市動物園,,,,気が強い,ティアラと相性が良い,1
motchi,モッチー,モッチー,1,オス,2015-06-24,,,,,,,ヤンヤン,キラリ,,おっとり　好戦的　気が強い,ベビーフェイス　幼児体型　人参が嫌い　足裏マーキング　2024年の西山動物園推しパン総選挙では首位に選ばれた。,4
sakuya,咲弥,サクヤ,0,メス,2015-06-24,,,2017-11-20,天王寺動物園,,,ヤンヤン,キラリ,,,モッチーと双子として誕生,1
teiara,ティアラ,ティアラ,1,メス,2015-07-06,,,2016-03-16,神戸市立王子動物園,,,ガイア,ミンファ,,活発、好奇心旺盛　気が強い,運動神経が良い　笹の枝を運んで食べる　ムータンと相性が良い 2024年の西山動物園推しパン総選挙では3位に選ばれた。,4
meishan,梅香,メイシャン,0,メス,2017-06-29,,,2020-01-17,伊豆シャボテン動物公園,,,ヤンヤン,キラリ,,,,1
matsuba,まつば,マツバ,1,メス,2014-07-17,,,,,2018-03-26,静岡市立日本平動物園,,,,マイペース　子煩悩,体色は黒い部分が多い　落葉プールで背泳ぎする　りんごを両手に持って食べる。 ,
kanoko,かのこ,カノコ,1,メス,2016-06-24,,,,,2019-03-19,東京都多摩動物公園,,,,くいしんぼう　慎重,顔の模様の白い部分多い　手足が長い,0
niko,ニーコ,ニーコ,0,メス,2019-07-12,,,,,,,モッチー,まつば,,ほんわか　頑固　マイペース,双子の令花と相性が良い　落葉プールで背泳ぎする,1
reifa,令花,レイファ,0,メス,2019-07-12,,,2025-04-14,秋田市大森山動物園,,,モッチー,まつば,,くいしんぼう　慎重　活動的,双子のニーコと相性が良い。りんごを両手に持って食べる。 ,1
pysuke,ピースケ,ピースケ,0,オス,2020-06-27,,,2022-01-10,東京都立大島公園,,,たいよう,かのこ,,活発　人懐っこい　くいしんぼう,愛嬌がある　スナック菓子のモデルになったことがある。,1
kaito,カイト,カイト,0,オス,2022-06-27,,,2024-06-03,東京都多摩動物公園,,,ライト,かのこ,,慎重,表情豊か　　東京都多摩動物公園から海外の動物園（インドネシア）に移動した。,4
kaede,かえで,カエデ,0,メス,2022-06-27,,,2025-03-03,いしかわ動物園,,,ライト,かのこ,,活発、好奇心旺盛,運動神経が良い,0
kanta,かんた,カンタ,1,オス,2018-07-12,,,,,2022-11-10,秋田市大森山動物園,,,,穏やか　くいしんぼう　愛嬌がある,人参が好き　なんでもよく食べる 2024年の西山動物園推しパン総選挙では4位に選ばれた。,0
